# 1年生で習う80字の問題（ひらがなのみ使用）
[いち],一
[に],二
[さん],三
[よん],四
[ご],五
[ろく],六
[なな],七
[はち],八
[きゅう],九
[じゅう],十
[ひゃく],百
[せん],千
[やま]にのぼる,山
[かわ]であそぶ,川
[き]のした,木
[はやし]のなか,林
[もり]のなか,森
[ひ]がもえる,火
[みず]をのむ,水
[つち]あそび,土
[そら]をみる,空
[あめ]がふる,雨
[いし]をひろう,石
[はな]がさく,花
[くさ]むら,草
[たけ]やぶ,竹
[いぬ]がいる,犬
[むし]とり,虫
[かい]がら,貝
おおきい[ひと],人
[こ]どもたち,子
おんなの[こ],女
おとこの[こ],男
[がっ]こうにいく,学
がっ[こう]にいく,校
[せん]せい,先
[せい]かつ,生
[な]まえをかく,名
ことしの[ねん],年
[つき]がでた,月
きょうの[ひ],日
[おう]さま,王
[たま]いれ,玉
[きん]いろ,金
[くるま]にのる,車
[ほん]をよむ,本
[ぶん]をかく,文
[じ]をかく,字
[て]であらう,手
[あし]がはやい,足
[め]をとじる,目
[みみ]をすます,耳
[くち]をひらく,口
[ちから]がある,力
[き]もち,気
[おと]がする,音
[いと]でぬう,糸
まるい[えん],円
[あか]いりんご,赤
[あお]いそら,青
[しろ]いくも,白
[おお]きい,大
[ちい]さい,小
[うえ]にある,上
[した]にある,下
[なか]にいる,中
[みぎ]をむく,右
[ひだり]をむく,左
[ただ]しい,正
[はや]い,早
[で]る,出
[はい]る,入
[た]つ,立
[やす]む,休
[み]る,見
[てん]き,天
[た]んぼ,田
[まち]にいく,町
[むら]にすむ,村
[ゆう]がた,夕
