# 2年生で習う160字の問題（短文形式、1年生の漢字を使用）
[きょう]しつでべんきょうする,教
きょう[しつ]をそうじする,室
[とも]だちとあそぶ,友
[なつ]やすみにおよぐ,夏
[あたら]しいくつをかう,新
おみせで[か]いものする,買
[でん]しゃにのる,電
[はる]がきた,春
[まい]日がっこうにいく,毎
[おとうと]とあそぶ,弟
[かぜ]がふく,風
[じ]かんをまもる,時
じ[かん]がたつ,間
[と]しょかんで本をかりる,図
へやが[あか]るい,明
みちが[なが]い,長
[つよ]いかぜがふく,強
こうえんが[ひろ]い,広
山が[たか]い,高
[た]べものをかう,食
[あさ]ごはんをたべる,朝
お[ひる]ごはんのじかん,昼
[よる]ねるまえに,夜
[ちち]ははにあいさつ,父
ちち[はは]といっしょに,母
[あに]がいる,兄
[いもうと]といっしょに,妹
[あね]がいる,姉
こく[ご]のじゅぎょう,語
[さん]すうをべんきょう,算
[ひがし]からたいようがでる,東
[にし]にたいようがしずむ,西
[みなみ]のしまへいく,南
[きた]のくにはさむい,北
[ゆき]がふる,雪
[くも]がおおい,雲
[うみ]であそぶ,海
[いけ]のさかな,池
[うま]にのる,馬
[うし]がないた,牛
[さかな]をたべる,魚
[とり]がとぶ,鳥
[うた]をうたう,歌
[え]をかく,絵
おん[がく]をきく,楽
[がい]こくへいく,外
[あか]るいへや,明
[らい]しゅうはえんそく,来
こう[えん]であそぶ,園
いえから[ちか]い,近
がっこうまで[とお]い,遠
[ふる]いたてもの,古
[ほそ]いえだ,細
[ふと]いき,太
[くろ]いねこ,黒
[き]いろいはな,黄
こたえが[わ]かる,分
先生のはなしを[き]く,聞
みんなに[はな]す,話
本を[よ]む,読
じを[か]く,書
よく[かんが]える,考
はやく[はし]る,走
ゆっくり[ある]く,歩
くるまが[と]まる,止
いえに[かえ]る,帰
ともだちが[く]る,来
がっこうへ[い]く,行
[こめ]をたく,米
[にく]をやく,肉
[や]さいをたべる,野
[ばん]ごうをきく,番
[はん]ぶんにわける,半
ち[ず]をみる,図
[みせ]に入る,店
[もん]をくぐる,門
[いえ]にかえる,家
[みち]をあるく,道
[ふね]にのる,船
[き]しゃにのる,汽
