# 3年生で習う200字の問題（短文形式、1〜2年生の漢字を使用）
[しゅく]題をする,宿
宿[だい]をわすれた,題
[い]いん会に出る,委
委[いん]になる,員
図[しょ]館で本をかりる,書
図書[かん]に行く,館
[うん]動会がある,運
運[どう]しよう,動
プールで[およ]ぐ,泳
[えき]で電車をまつ,駅
水の[おん]度をはかる,温
温[ど]が高い,度
じゅぎょうが開[し]する,始
[かい]だんをのぼる,階
階[だん]をおりる,段
ふゆは[さむ]い,寒
うれしいと[かん]じる,感
[かん]字をかく,漢
漢[じ]のテスト,字
川の[きし]に立つ,岸
朝早く[お]きる,起
時間がないので[いそ]ぐ,急
二[きゅう]にうかった,級
ボールが[きゅう]のかたち,球
[はし]をわたる,橋
すきな[きょく]をきく,曲
[ぎん]行に行く,銀
銀[こう]のしごと,行
こきゅうが[くる]しい,苦
道[ぐ]をつかう,具
[きみ]といっしょに,君
[かかり]のしごと,係
かばんが[かる]い,軽
体の中を流れる[ち],血
じゅんばんを[き]める,決
[けん]究する,研
研[きゅう]する,究
○○[けん]にすむ,県
大きな[みずうみ]がある,湖
学校へ[む]かう,向
[しあわ]せなきもち,幸
[みなと]にふねがつく,港
一[ごう]しゃに乗る,号
[まつ]りに行く,祭
[さら]にりょうりをのせる,皿
おとなの[し]ごと,仕
えんぴつを[つか]う,使
じゅぎょうを[はじ]める,始
[ゆび]でさす,指
[は]をみがく,歯
[し]をよむ,詩
大きな[じ]けんがあった,事
本を[も]つ,持
入学[しき]に出る,式
[じっ]けんをする,実
実[けん]する,験
[しゃ]真をとる,写
写[しん]をとる,真
[しゅ]人公,主
とくてんを[と]る,取
テストを[う]ける,受
みんなで[あつ]める,集
まちに[す]む,住
にもつが[おも]い,重
じゅぎょうが[お]わる,終
夏は[あつ]い,暑
こまっている人を[たす]ける,助
商[てん]で買う,店
しあいに[か]つ,勝
電車に[の]る,乗
植[ぶつ]をそだてる,物
[しん]体をうごかす,身
[じん]社にいく,神
神[しゃ]におまいり,社
川が[ふか]い,深
[せ]界地図,世
世[かい]中,界
[ぜん]部あつめる,全
手がみを[おく]る,送
足が[はや]い,速
ボールを[う]つ,打
ともだちを[ま]つ,待
夏休みは[みじか]い,短
ふくを[き]る,着
[ちゅう]意する,注
じしょで[しら]べる,調
[にわ]であそぶ,庭
電車の[てつ]のレール,鉄
南の[しま]へ行く,島
山に[のぼ]る,登
[どう]ぶつえんに行く,動
[のう]業のしごと,農
[はたけ]でやさいをつくる,畑
ニュースを[はっ]ぴょうする,発
[さか]をのぼる,坂
[かな]しいきもち,悲
夕やけが[うつく]しい,美
[ふで]で字をかく,筆
[こおり]がとける,氷
[びょう]院に行く,病
しあいに[ま]ける,負
[へ]やでやすむ,部
[ふく]をきがえる,服
[べん]強する,勉
りょうりの[あじ]みをする,味
[いのち]をたいせつに,命
[もん]題をとく,問
[くすり]をのむ,薬
[あぶら]でいためる,油
こうえんで[あそ]ぶ,遊
[ひつじ]がいる,羊
[はっぱ]がおちる,葉
木から[お]ちる,落
[りょ]行に行く,旅
旅[こう]の計画,行
[みどり]いろのはっぱ,緑
