# 4年生で習う202字の問題（1〜3年生の漢字を使用）
[あい]情,愛
[あん]内,案
案[ない],内
[い]上,以
[い]服,衣
衣[ふく],服
[い]置,位
[いん]象,印
[えい]語,英
英[ご],語
[えい]養,栄
[しお],塩
[おく],億
[くわ]える,加
[くだ]物,果
[か]題,課
[め]が出る,芽
改[りょう],良
[き]械,機
機[かい],械
[おぼ]える,覚
完[せい],成
管[り],理
[かん]係,関
観[さつ],察
[ねが]い,願
[き]望,希
[き]節,季
[よろこ]ぶ,喜
[はた],旗
器[ぐ],具
議[ろん],論
[もと]める,求
[な]く,泣
給[しょく],食
漁[ぎょう],業
[きょう]通,共
[きょう]力,協
[かがみ],鏡
[きょう]争,競
訓[れん],練
[ぐん]隊,軍
[けしき],景
芸[じゅつ],術
結[か],果
建[せつ],設
健[こう],康
[かた]い,固
[す]き,好
候[ほ],補
[さ],差
[やさい],菜
[さい]高,最
材[りょう],料
[きのう],昨
[ふだ],札
参[か],加
産[ぎょう],業
散[ぽ],歩
武[し],士
[し]験,試
[じ]童,児
治[りょう],療
失[ぱい],敗
[か]りる,借
種[るい],類
祝[じつ],日
順[ばん],番
[はじ]めて,初
[まつ],松
[わら]う,笑
唱[か],歌
[や]く,焼
照[めい],明
[しろ],城
信[ごう],号
成[こう],功
清[けつ],潔
[しず]か,静
[せき],席
[つ]む,積
節[やく],約
説[めい],明
戦[そう],争
選[たく],択
[あらそ]い,争
[たば],束
[つづ]く,続
卒[ぎょう],業
[まご],孫
[おび],帯
達[せい],成
単[い],位
[お]く,置
[なかま],仲
[ひく]い,低
停[し],止
伝[せつ],説
努[りょく],力
灯[だい],台
[はたら]く,働
特[べつ],別
[ねつ],熱
敗[ぼく],北
[うめ],梅
博[ぶつ]館,物
[めし],飯
[と]ぶ,飛
[かなら]ず,必
標[じゅん],準
[ふ]法,不
[おっと],夫
[つ]ける,付
[ふ],府
[と]む,富
副[し],詞
[へい]士,兵
[べつ]々,別
[へん]化,変
[べん]利,便
[つつ]む,包
法[りつ],律
[のぞ]み,望
[すえ],末
[み]たす,満
[まだ],未
[みん],民
[む]理,無
[やく]束,約
[いさ]ましい,勇
要[けん],件
養[しょく],食
[あ]びる,浴
好[り],利
[りく],陸
[よ]い,良
料[り],理
量[ほう],方
[わ],輪
[るい],類
命[れい],令
[つめ]たい,冷
[れい],例
[れん]絡,連
[ろう]人,老
労[どう],働
[ろく]画,録
