# 4年生で習う202字の問題（短文形式、1〜3年生の漢字を使用）
家族への[あい]情,愛
[あん]内をする,案
[あん]内してもらう,案
十[い]上は,以
きれいな[い]服,衣
[い]服をきる,衣
一[い]になる,位
[いん]象に残る,印
[えい]語の勉強,英
[えい]語で話す,英
[えい]養をとる,栄
[しお]をかける,塩
百[おく]円,億
あたらしく[くわ]える,加
[くだ]物をたべる,果
[か]題をする,課
たねから[め]がでる,芽
計画を改[りょう]する,良
[き]械をつかう,機
機[かい]を動かす,械
かんじを[おぼ]える,覚
しごとが完[せい]する,成
せいとうを[かん]理する,管
友だちとの[かん]係,関
よく観[さつ]する,察
[ねが]いがかなう,願
[き]望をもつ,希
春夏秋冬の[き]節,季
みんなが[よろこ]ぶ,喜
学校の[はた]をふる,旗
理科の[き]具,器
みんなで[ぎ]論する,議
とうあんを[もと]める,求
かなしくて[な]いた,泣
[きゅう]食をたべる,給
海で[ぎょ]業をする,漁
[きょう]通のルール,共
みんなで[きょう]力する,協
[かがみ]をみる,鏡
[きょう]争する,競
ひなん[くん]練をする,訓
歴史にでてくる[ぐん]たい,軍
きれいな[けしき],景
すばらしい[げい]術,芸
テストの結[か],果
ビルを[けん]設する,建
体が健[こう]だ,康
石のように[かた]い,固
[す]きなたべもの,好
[こう]補をえらぶ,候
タイムの[さ],差
[やさい]をたべる,菜
[さい]高の結果,最
夕食の材[りょう],料
[きのう]の話,昨
名[ふだ]をかく,札
うんどう会に参[か]する,加
お米を作る[さん]業,産
公園を[さん]歩する,散
テストを[し]けんする,試
[じ]どうがいる,児
病気を[ち]療する,治
失[ぱい]した,敗
図書かんで[か]りる,借
いろいろな種[るい],類
[しゅく]日はおやすみ,祝
自分の[じゅん]番がくる,順
[はじ]めて会った,初
庭の[まつ]の木,松
たのしくて[わら]う,笑
みんなで[しょう]歌する,唱
パンを[や]く,焼
電気で[しょう]明する,照
[しろ]を見学する,城
こうさてんで[しん]号をまつ,信
テストに成[こう]する,功
手を[せい]潔にする,清
[しず]かにする,静
自分の[せき]にすわる,席
ブロックを[つ]む,積
水を節[やく]する,約
くわしく[せつ]明する,説
歴史で学ぶ戦[そう],争
べんきょうを[せん]択する,選
けんかの[あらそ]い,争
花の[たば],束
れんらくが[つづ]く,続
六年生を[そつ]業する,卒
[まご]に会う,孫
きものに[おび]をする,帯
もくひょうを達[せい]する,成
長さの単[い],位
つくえに[お]く,置
[なかま]になる,仲
せいが[ひく]い,低
電車が[てい]止する,停
むかし話の伝[せつ],説
毎日努[りょく]する,力
[とう]台のあかり,灯
おとうさんは[はたら]く,働
特[べつ]なひ,別
[ねつ]がでた,熱
しあいに[はい]北する,敗
[うめ]の花,梅
博[ぶつ]かんに行く,物
[めし]をたべる,飯
ひこうきが[と]ぶ,飛
[かなら]ずやる,必
[ひょう]準にあわせる,標
[ふ]けんこう,不
[おっと]とつま,夫
なまえを[つ]ける,付
○○[ふ]にすむ,府
お金持ちは[と]んでいる,富
昔の[へい]士,兵
[べつ]々に帰る,別
天気が[へん]わる,変
電車は[べん]利だ,便
プレゼントを[つつ]む,包
車を動かす[ほう]律,法
いちばんの[のぞ]み,望
月[すえ]になる,末
水を[み]たす,満
[まだ]だ,未
[みん]しゅしゅぎ,民
[む]理をしない,無
[やく]束をまもる,約
[いさ]ましい人,勇
えいようのある養[しょく],食
おふろに[あ]びる,浴
べん[り]な道具,利
[りく]上きょうぎ,陸
せいせきが[よ]い,良
車の[わ],輪
いきものの[るい],類
命[れい]に従う,令
[つめ]たい水,冷
あいさつの[れい],例
ともだちに[れん]らくする,連
お[ろう]じんをたいせつに,老
毎日労[どう]する,働
ビデオを[ろく]がする,録
