# 5年生で習う193字の問題（1〜4年生の漢字を使用）
[あつ]力,圧
[い]動,移
原[いん],因
[えい]遠,永
営[ぎょう],業
衛[せい],生
容[い],易
利[えき],益
液[たい],体
演[そう],奏
応[えん],援
往[ふく],復
[さくら],桜
可[のう],能
仮[てい],定
価[かく],格
河[せん],川
過[こ],去
快[てき],適
解[けつ],決
格[こう],好
確[にん],認
金[がく],額
発[かん],刊
幹[じ],事
習[かん],慣
眼[きょう],鏡
基[ほん],本
寄[ふ],付
規[そく],則
技[じゅつ],術
正[ぎ],義
逆[てん],転
永[きゅう],久
旧[しき],式
居[じゅう],住
許[か],可
環[きょう],境
平[きん],均
禁[し],止
文[く],句
経[けん],験
清[けつ],潔
事[けん],件
入場[けん],券
危[けん],険
検[さ],査
制[げん],限
現[ざい],在
減[しょう],少
故[きょう],郷
個[じん],人
保[ご],護
効[か],果
厚[がみ],紙
農[こう],耕
航[かい],海
鉱[ぶつ],物
構[ぞう],造
興[み],味
講[えん],演
混[ざつ],雑
調[さ],査
再[せい],生
災[がい],害
夫[さい],妻
採[よう],用
国[さい],際
存[ざい],在
財[さん],産
犯[ざい],罪
雑[し],誌
酸[そ],素
賛[せい],成
支[えん],援
志[ぼう],望
枝[わかれ],分
教[し],師
資[りょう],料
飼[いく],育
指[じ],示
類[じ],似
識[べつ],別
品[しつ],質
校[しゃ],舎
感[しゃ],謝
授[ぎょう],業
修[り],理
記[じゅつ],述
技[じゅつ],術
準[び],備
順[じょ],序
招[たい],待
証[めい],明
条[けん],件
状[きょう],況
日[じょう],常
感[じょう],情
組[しき],織
職[ぎょう],業
制[ど],度
性[かく],格
政[じ],治
勢[りょく],力
精[しん],神
製[ひん],品
税[きん],金
責[にん],任
成[せき],績
接[する],続
設[けい],計
絶[たい],対
祖[ふ],父
酸[そ],素
総[ごう],合
製[ぞう],造
[ぞう]像,像
増[か],加
規[そく],則
測[てい],定
所[ぞく],属
確[りつ],率
損[がい],害
貸[す],与
態[ど],度
団[たい],体
判[だん],断
建[ちく],築
貯[きん],金
主[ちょう],張
提[きょう],供
程[ど],度
適[せつ],切
統[けい],計
食[どう],堂
銅[せん],線
指導[する],導
得[する],点
独[りょく],立
任[む],務
燃[りょう],料
能[りょく],力
破[る],壊
犯[にん],人
判[だん],断
出[はん],版
比[べる],較
肥[りょう],料
非[にく],難
費[よう],用
準[び],備
評[か],価
貧[こん],困
[ぬの],布
婦[じん],人
武[し],士
復[こう],興
複[ざつ],雑
仏[きょう],教
粉[こな],末
編[しゅう],集
弁[ごし],護
保[けん],険
墓[まいり],参
報[こく],告
豊[か],富
防[し],止
貿[えき],易
暴[りょく],力
脈[はく],拍
事[む],務
[ゆめ],夢
迷[ろ],路
綿[せき],積
輸[にゅう],入
余[る],分
容[き],器
略[ご],語
留[がく],学
領[ど],土
歴[し],史
