# 5年生で習う193字の問題（短文形式、1〜4年生の漢字を使用）
水の[あつ]力がかかる,圧
となりの町へ[い]動する,移
事故の原[いん]を調べる,因
[えい]遠に続く,永
お店が[えい]業中だ,営
体の[えい]生に気をつける,衛
問題がよう[い]だ,易
会社の利[えき]がでた,益
[えき]体をこぼした,液
ピアノで[えん]奏する,演
チームを[おう]援する,応
学校を往[ふく]する,復
公園の[さくら]がさく,桜
目的が[か]のうだ,可
もしもと[か]定する,仮
商品の価[かく]が高い,格
[かせん]をくだる,河
[か]去の思い出,過
部屋が快[てき]だ,適
問題を[かい]決する,解
服の[かっ]好がいい,格
まちがいを[かく]認する,確
お金の金[がく]を数える,額
新聞を発[かん]する,刊
グループの[かん]事になる,幹
毎日の習[かん],慣
目が悪いので眼[きょう]をかける,鏡
勉強の[き]本をならう,基
お金を[き]付する,寄
学校の規[そく]をまもる,則
サッカーの技[じゅつ]をみがく,術
正[ぎ]の味方,義
試合が[ぎゃく]転した,逆
永[きゅう]にかわらない,久
[きゅう]式のやり方,旧
町に[きょ]住する,居
出かけることを許[か]する,可
自然の環[きょう]をまもる,境
テストの平[きん]点,均
ここでは立ち入り[きん]止だ,禁
むずかしい文[く]を使う,句
いい[けい]験になった,経
手を清[けつ]にする,潔
大きな事[けん]がおきた,件
動物園の[にゅうじょう]券を買う,入場
危[けん]なところに入らない,険
病院で体を検[さ]する,査
スピードを制[げん]する,限
現[ざい]の時こくは,在
人口が[げん]少している,減
生まれた[こ]郷にかえる,故
一人ずつ[こ]人で動く,個
大人が子どもを保[ご]する,護
薬に[こう]果がある,効
あつ[がみ]を使う,厚
畑を農[こう]する,耕
船が港に航[かい]する,海
山から[こう]物をほる,鉱
ビルの構[ぞう]を調べる,造
科学に[きょう]味がある,興
先生が講[えん]をする,演
電車が混[ざつ]している,雑
みんなで調[さ]する,査
くりかえし[さい]生する,再
地しんなどの[さい]害にそなえる,災
山田夫[さい]に会う,妻
あたらしい方法を[さい]用する,採
世界の国[さい]りかい,際
あそこに存[ざい]する,在
親の[ざい]産をもらう,財
ルールをやぶる犯[ざい],罪
いろいろな[ざっ]誌をよむ,雑
空気には酸[そ]がある,素
みんなが[さん]成した,賛
みんなで[し]援する,支
しょうらいの[し]望をかく,志
木が枝[わかれ]する,分
教[し]について学ぶ,師
べんきょうの[し]料をあつめる,資
うさぎを[し]育する,飼
先生が指[じ]する,示
この二人は類[じ]している,似
二つを[しき]別する,識
商品の品[しつ]がいい,質
学校の校[しゃ]を見学する,舎
おれいの気持ちを感[しゃ]する,謝
先生が[じゅ]業をする,授
こわれた家を[しゅう]理する,修
くわしく記[じゅつ]する,述
すばらしい技[じゅつ]を見る,術
運動会の準[び]をする,備
ならぶ順[じょ]をきめる,序
パーティーに[しょう]待する,招
身分を[しょう]明する,証
合かくの条[けん]にあう,件
天気の[じょう]況を調べる,状
毎日の日[じょう]生活,常
うれしい感[じょう]になる,情
大きな組[しき]に入る,織
いろいろな[しょく]業がある,職
学校の[せい]度をまもる,制
自分の性[かく]をしる,格
国の[せい]治をおこなう,政
チームに[せい]力がある,勢
毎日精[しん]をこめる,神
工場で[せい]品をつくる,製
国に[ぜい]金をおさめる,税
自分の責[にん]をはたす,任
テストの成[せき]がいい,績
電話に接[する]する,続
計画を[せっ]計する,設
ぜったい[ぜっ]対に負けない,絶
おじいちゃんは[そ]父だ,祖
空気の酸[そ],素
全体を[そう]合する,総
工場で製[ぞう]する,造
有名な人の[ぞう],像
人口が[ぞう]加する,増
学校の規[そく]をまもる,則
長さを[そく]定する,測
グループに所[ぞく]する,属
テストの合かく[りつ],率
ものをこわす損[がい],害
お金を[か]す,貸
かっこいい態[ど]をとる,度
社会科見学の団[たい],体
強い意志で判[だん]する,断
大きなビルを建[ちく]する,築
お金を[ちょ]金する,貯
じぶんの意見を主[ちょう]する,張
大切なことを提[きょう]する,供
問題のレベルを程[ど]しらべる,度
適[せつ]なすうじをえらぶ,切
多くのデータを統[けい]する,計
学校の食[どう]でたべる,堂
電気を通す銅[せん]のはりがね,線
先生が生徒を指[どう]する,導
よい[とく]点をとる,得
一人で独[りょく]する,立
しごとを任[む]される,務
ストーブで燃[りょう]をもやす,料
人間の能[りょく]をいかす,力
古いうつわが[やぶ]れた,破
事件の犯[にん]をさがす,人
正しいと判[だん]する,断
本を出[はん]する,版
二つの大きさを[くら]べる,比
はたけに肥[りょう]をまく,料
ルールを[ひ]難する,非
旅行の費[よう]がかかる,用
運動会の準[び]をする,備
テストを評[か]する,価
お金がなくて[ひん]困になる,貧
きれいな[ぬの]でふく,布
おくさんを婦[じん]とよぶ,人
昔の武[し]はつよかった,士
やすんだあと復[こう]する,興
問題が複[ざつ]になる,雑
[ぶつ]教を学ぶ,仏
小麦を粉[こな]にする,末
雑しを編[しゅう]する,集
弁[ごし]の仕事,護
みんなの安全を保[けん]する,険
おじいちゃんの墓[まいり]にいく,参
警察に報[こく]する,告
自然が豊[か]だ,富
火事を防[し]する,止
外国と貿[えき]する,易
台風の暴[りょく]的な風,力
心ぞうの[みゃく]拍をはかる,脈
会社で事[む]をする,務
いい[ゆめ]をみた,夢
道に迷[ろ]する,路
わたの綿[せき],積
外国から輸[にゅう]する,入
おかねが[あま]る,余
水を入れる容[き],器
むずかしい文しょうを略[ご]する,語
外国に留[がく]する,学
国の領[ど]をまもる,土
日本の歴[し]を学ぶ,史
