# 6年生で習う191字の問題（短文形式、1〜5年生の漢字を使用）
ふつうと[い]なる,異
昔の人が残した[い]せき,遺
このち[いき]に住む,域
広い宇[ちゅう]を調べる,宙
映[が]を見に行く,画
時間を延[ちょう]する,長
川に沿[がん]の道を歩く,岸
先生への恩[けい]をかんじる,恵
自分と自[が],我
灰[いろ]のくもが広がる,色
大きく拡[だい]する,大
社会を変える革[めい],命
国の内[かく]がきまる,閣
全体の割[あい]を計算する,合
会社の株[しき]を買う,式
海の近くの干[がた],潟
巻[もの]をひらく,物
病人を看[ご]する,護
テストは簡[たん]だった,単
危[き]をのりこえる,機
[つくえ]の上にある,机
貴[ちょう]な体けんをする,重
それは疑[もん]だ,問
空気を呼[きゅう]する,吸
食料を供[きゅう]する,給
[むね]をはる,胸
ふるさとの故[きょう]にかえる,郷
会社で勤[む]する,務
筋[にく]をきたえる,肉
生き物の系[とう]を調べる,統
おじいちゃんを尊[けい]する,敬
町の安全を警[さつ]がまもる,察
舞台で演[げき]する,劇
雨が[はげ]しくふる,激
山の洞[あな]に入る,穴
電車の入場[けん],券
絹[いと]で作った服,糸
人には権[り]がある,利
国の憲[ぽう]をまもる,法
川の水[げん]を調べる,源
先生はとても厳[かく]だ,格
自分のこと自[こ],己
大きな声で呼[だし]する,出
相手の話を誤[かい]した,解
天皇の皇[ごう],后
親を大切にする孝[こう],行
日本の天[のう],皇
秋になると紅[よう]する,葉
雨が降[う]しました,雨
とても強い鋼[てつ],鉄
石に刻[いん]する,印
米や麦などの穀[もつ],物
体を支える骨[かく],格
問題がとても困[なん]だ,難
広い砂[ばく]を歩く,漠
自分の座[せき]につく,席
国の経[ざい]が発展する,済
問題を裁[ばん]する,判
国の政[さく]をきめる,策
うすい冊[し]をよむ,子
むかしの養[さん]業,蚕
至[きゅう]の用事がある,急
私[りつ]の学校に行く,立
正しい姿[せい]で座る,勢
目の視[りょく]を調べる,力
英語の単[ご]を覚える,語
いろいろな雑[し]をよむ,誌
磁[しゃく]で鉄を引きよせる,石
弓で的を射[げき]する,撃
ごみを投[すてる],捨
長さの尺[ど]を決める,度
若[もの]がたくさんいる,者
大きな樹[もく]がある,木
おこめを収[かく]する,穫
仏教などの宗[きょう],教
会社に就[しょく]する,職
大勢の民[しゅう]が集まる,衆
今までの従[らい]のやり方,来
たてと縦[よこ]をはかる,横
時間を短[しゅく]する,縮
くだものが成[じゅく]する,熟
心が純[すい]だ,粋
データを処[り]する,理
やくしょで官[しょ]の仕事をする,署
いろいろな諸[こく]と交流する,国
よごれを除[きょ]する,去
しょうらいの将[らい],来
すりきずの負[しょう],傷
道に障[がい]がある,害
お湯を蒸[き]にする,気
注射の針[ばり],針
人を思いやる仁[ぎ],義
まっすぐな垂[ちょく]の線,直
こたえを推[そく]する,測
大きさを寸[ぽう]ではかる,法
パーティーが盛[だい]に行われた,大
聖[しょ]をよむ,書
誠[じつ]な人,実
あいさつの時[した]を動かす,舌
大切なことを宣[げん]する,言
料理を専[もん]にした仕事,門
お湯がわく温[せん],泉
服を洗[たく]する,濯
染[りょう]でぬの色をかえる,料
いいことと悪いことの善[あく],悪
楽器で演[そう]する,奏
窓[ぐち]でてつづきをする,口
新しいものを創[さく]する,作
きれいな服[そう]で出かける,装
土地の地[そう]を調べる,層
機械を操[さ]する,作
食料を貯[ぞう]する,蔵
体の中にある内[ぞう],臓
そこに存[ざい]する,在
相手を尊[けい]する,敬
会社を退[しょく]する,職
自分の自[たく]でくつろぐ,宅
このしごとを担[とう]する,当
新しいことを探[きゅう]する,求
誕[じょう]日をいわう,生
階段の段[かい]をのぼる,階
部屋を暖[ぼう]する,房
ものの[あたい],値
星がうかぶ宇[ちゅう],宙
主人に忠[じつ]な人,実
有名な著[しゃ]の本,者
県[ちょう]にいく,庁
山の[ちょう]上にのぼる,頂
食べ物をしょうかする[ちょう],腸
海の潮[りゅう]の流れ,流
仕事の賃[ぎん]をもらう,金
体が[いた]い,痛
敵[たい]するチーム,対
作品を展[じ]する,示
みんなで討[ろん]する,論
国の政[とう],党
あまい砂[とう],糖
手紙が届[く],届
問題がとても困[なん]だ,難
赤ちゃんは牛[にゅう]を飲む,乳
正しいと認[しき]する,識
税金を納[ぜい]する,税
頭の中の[のう]を使う,脳
グループの[は],派
とても拝[けん]した,見
自分の背[なか],中
息をする[はい],肺
五七五で作る俳[く],句
作業の[はん]を作る,班
[ばん]ごはんをたべる,飯
いけんを否[てい]する,定
作品を批[ひょう]する,評
秘[みつ]の話をする,密
おこめを入れる[ひょう],俵
おなかの[おなか],腹
やる気が奮[とう]する,闘
みんなで並[べる],列
陛[か],下
戸を閉[さ]する,鎖
[かた]方の手,片
足りない分を補[じゅう]する,充
幸せに暮[らす],生
宝物の[たから],宝
友だちを訪[もん]する,問
おじいさんが亡[ぼう]くなった,亡
約束を忘[れる],却
細長い[ぼう],棒
紙が十[まい]ある,枚
舞台の幕[あけ],開
秘[みつ]の場所,密
なかまで同[めい]する,盟
お手本を模[ほう]する,倣
日本語に翻[やく]する,訳
郵[びん]を送る,便
とても優[しゅう]な人,秀
お金を預[かる],金
小さな子が行く幼[ち]園,稚
ほしいという欲[ぼう],望
次の日の翌[じつ],日
混[らん]した状況,乱
にわとりの[たまご],卵
一目で見られる一[らん]表,覧
紙の[うら]がわ,裏
音楽のリズムの規[りつ],律
大会に臨[じ]的にでる,時
明[るい]声で話す,朗
みんなで論[そう]する,争
