# 6年生で習う191字の問題（短文形式、1〜5年生の漢字を使用）
ふつうと[い]なる,異
昔の人が残した[い]せき,遺
このち[いき]に住む,域
広い宇[ちゅう]を調べる,宙
[えい]画を見に行く,映
時間を[えん]長する,延
川に[えん]岸の道を歩く,沿
先生への[おん]恵をかんじる,恩
自分と自[が],我
[はい]色のくもが広がる,灰
大きく[かく]大する,拡
社会を変える[かく]命,革
国の内[かく]がきまる,閣
全体の[わり]合を計算する,割
会社の[かぶ]式を買う,株
海の近くの[ひ]潟,干
[まき]物をひらく,巻
病人を[かん]護する,看
テストは[かん]単だった,簡
[き]機をのりこえる,危
[つくえ]の上にある,机
[き]重な体けんをする,貴
それは[ぎ]問だ,疑
空気を呼[きゅう]する,吸
食料を[きょう]給する,供
[むね]をはる,胸
ふるさとの故[きょう]にかえる,郷
会社で[きん]務する,勤
[きん]肉をきたえる,筋
生き物の[けい]統を調べる,系
おじいちゃんを尊[けい]する,敬
町の安全を[けい]察がまもる,警
舞台で演[げき]する,劇
雨が[はげ]しくふる,激
山の洞[あな]に入る,穴
電車の入場[けん],券
[きぬ]糸で作った服,絹
人には[けん]利がある,権
国の[けん]法をまもる,憲
川の水[げん]を調べる,源
先生はとても[げん]格だ,厳
自分のこと自[こ],己
大きな声で呼[だし]する,出
相手の話を[ご]解した,誤
天皇の皇[ごう],后
親を大切にする[こう]行,孝
日本の天[のう],皇
秋になると[こう]葉する,紅
雨が[ふ]りました,降
とても強い[こう]鉄,鋼
石に[こく]印する,刻
米や麦などの[こく]物,穀
体を支える[こっ]格,骨
問題がとても困[なん]だ,難
広い[さ]漠を歩く,砂
自分の[ざ]席につく,座
国の経[ざい]が発展する,済
問題を[さい]判する,裁
国の政[さく]をきめる,策
うすい[さっ]子をよむ,冊
むかしの養[さん]業,蚕
[し]急の用事がある,至
[し]立の学校に行く,私
正しい[し]勢で座る,姿
目の[し]力を調べる,視
英[ご]を習う,語
いろいろな雑[し]をよむ,誌
[じ]石で鉄を引きよせる,磁
弓で的を[しゃ]撃する,射
ごみを投[すてる],捨
長さの[しゃく]度を決める,尺
[わか]者がたくさんいる,若
大きな[じゅ]木がある,樹
おこめを[しゅう]穫する,収
仏教などの[しゅう]教,宗
会社に[しゅう]職する,就
大勢の民[しゅう]が集まる,衆
今までの[じゅう]来のやり方,従
たてと[たて]横をはかる,縦
時間を短[しゅく]する,縮
くだものが成[じゅく]する,熟
心が[じゅん]粋だ,純
データを[しょ]理する,処
やくしょで官[しょ]の仕事をする,署
いろいろな[しょ]国と交流する,諸
よごれを[じょ]去する,除
しょうらいの[しょう]来,将
すりきずの負[しょう],傷
道に[しょう]害がある,障
お湯を[じょう]気にする,蒸
注射の[はり],針
人を思いやる[じん]義,仁
まっすぐな[すい]直の線,垂
こたえを[すい]測する,推
大きさを[すん]法ではかる,寸
パーティーが[せい]大に行われた,盛
[せい]書をよむ,聖
[せい]実な人,誠
あいさつの時[した]を動かす,舌
大切なことを[せん]言する,宣
料理を[せん]門にした仕事,専
お湯がわく温[せん],泉
服を[せん]濯する,洗
[せん]料でぬの色をかえる,染
[ぜん]悪を判断する,善
楽器で演[そう]する,奏
[まど]口でてつづきをする,窓
新しいものを[そう]作する,創
きれいな服[そう]で出かける,装
土地の地[そう]を調べる,層
機械を[そう]作する,操
食料を貯[ぞう]する,蔵
体の中にある内[ぞう],臓
そこに存[ざい]する,在
相手を尊[けい]する,敬
会社を退[しょく]する,職
自分の自[たく]でくつろぐ,宅
このしごとを[たん]当する,担
新しいことを探[きゅう]する,求
[たん]生日をいわう,誕
手[だん]をえらばない,段
部屋を[だん]房する,暖
ものの[あたい],値
星がうかぶ宇[ちゅう],宙
主人に[ちゅう]実な人,忠
有名な[ちょ]者の本,著
県[ちょう]にいく,庁
山の[ちょう]上にのぼる,頂
食べ物をしょうかする[ちょう],腸
海の[ちょう]流,潮
仕事の賃[ぎん]をもらう,金
体が[いた]い,痛
敵[たい]するチーム,対
作品を展[じ]する,示
みんなで討[ろん]する,論
国の政[とう],党
あまい砂[とう],糖
手紙が[とど]く,届
問題がとても困[なん]だ,難
赤ちゃんは牛[にゅう]を飲む,乳
正しいと認[しき]する,識
税金を[のう]入する,納
頭の中の[のう]を使う,脳
グループの[は],派
とても拝[けん]した,見
自分の背[なか],中
息をする[はい],肺
五七五で作る[はい]句,俳
作業の[はん]を作る,班
[ばん]ごはんをたべる,飯
いけんを[ひ]定する,否
作品を批[ひょう]する,評
秘[みつ]の話をする,密
おこめを入れる[ひょう],俵
おなかの[おなか],腹
やる気が[ふん]闘する,奮
みんなで並[べる],列
[へい]下,陛
戸を[へい]鎖する,閉
[かた]方の手,片
足りない分を補[じゅう]する,充
幸せに暮[らす],生
[たから]物,宝
友だちを[ほう]問する,訪
おじいさんが[な]くなった,亡
約束を[わす]れる,忘
細長い[ぼう],棒
紙が十[まい]ある,枚
舞台の幕[あけ],開
秘[みつ]の場所,密
なかまで同[めい]する,盟
お手本を模[ほう]する,倣
日本語に翻[やく]する,訳
[ゆう]便を送る,郵
とても[ゆう]秀な人,優
お金を[あず]かる,預
小さな子が行く幼[ち]園,稚
ほしいという[よく]望,欲
次の[よく]日,翌
混[らん]した状況,乱
にわとりの[たまご],卵
一目で見られる一[らん]表,覧
紙の[うら]がわ,裏
音楽のリズムの規[りつ],律
大会に[りん]時的にでる,臨
明[るい]声で話す,朗
みんなで論[そう]する,争
